Data,Category,Model,Type,pval,Fmod,R2,padj
Kraken - Bacteria,Ocean,Grade + Diet_Group + Infraorder + Ocean,margin,0.0323,1.78070609449932,0.0600518200425114,0.0524214285714286
MAG,Genus,Genus + Diet_group + Grade + Ocean,sequential,1e-04,6.64775511518276,0.515561532102001,0.000161538461538462
MAG,Grade,Genus + Diet_group + Grade + Ocean,sequential,1e-04,3.11954119814366,0.0967734467773661,0.000161538461538462
MAG,Ocean,Genus + Diet_group + Grade + Ocean,sequential,0.0605,1.49657881099564,0.0464264071909688,0.06657
MAG,Family,Family + Grade + Diet_group + Ocean,sequential,1e-04,6.32327056878613,0.392317106253604,0.000161538461538462
MAG,Grade,Family + Grade + Diet_group + Ocean,sequential,1e-04,4.72825856568553,0.220017872625763,0.000161538461538462
MAG,Ocean,Family + Grade + Diet_group + Ocean,sequential,0.0634,1.49657881099564,0.0464264071909688,0.06657
MAG,Genus,Genus + Grade + Diet_group + Ocean,sequential,1e-04,6.64775511518276,0.515561532102001,0.000161538461538462
MAG,Grade,Genus + Grade + Diet_group + Ocean,sequential,5e-04,3.11954119814366,0.0967734467773661,0.00075
MAG,Ocean,Genus + Grade + Diet_group + Ocean,sequential,0.0628,1.49657881099564,0.0464264071909688,0.06657
MAG,Diet_group,Diet_group + Grade + Genus + Ocean,sequential,1e-04,10.9823091734891,0.340689814555314,0.000161538461538462
MAG,Grade,Diet_group + Grade + Genus + Ocean,sequential,1e-04,3.58135920764575,0.222199645818414,0.000161538461538462
MAG,Genus,Diet_group + Grade + Genus + Ocean,sequential,1e-04,3.18780279463993,0.0494455185056382,0.000161538461538462
MAG,Ocean,Diet_group + Grade + Genus + Ocean,sequential,0.0611,1.49657881099563,0.0464264071909687,0.06657
MAG,Diet_group,Diet_group + Genus + Grade + Ocean,sequential,1e-04,10.9823091734891,0.340689814555314,0.000161538461538462
MAG,Genus,Diet_group + Genus + Grade + Ocean,sequential,1e-04,3.75805240964521,0.174871717546686,0.000161538461538462
MAG,Grade,Diet_group + Genus + Grade + Ocean,sequential,3e-04,3.11954119814366,0.0967734467773661,0.000466666666666667
MAG,Ocean,Diet_group + Genus + Grade + Ocean,sequential,0.0633,1.49657881099563,0.0464264071909687,0.06657
MAG,Grade,Grade + Genus + Diet_group + Ocean,sequential,1e-04,6.58384588603843,0.408484080814232,0.000161538461538462
MAG,Genus,Grade + Genus + Diet_group + Ocean,sequential,1e-04,4.38082480934913,0.203850898065134,0.000161538461538462
MAG,Ocean,Grade + Genus + Diet_group + Ocean,sequential,0.0601,1.49657881099564,0.0464264071909689,0.06657
MAG,Grade,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,6.58384588603843,0.408484080814232,0.000161538461538462
MAG,Diet_group,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,4.97733581670373,0.154405379559496,0.000161538461538462
MAG,Genus,Grade + Diet_Group + Genus + Ocean,sequential,1e-04,3.18780279463993,0.0494455185056382,0.000161538461538462
